袁隆平	6.4	3737287	2009
蟹蟹侬	4.8	3304011	2009
泰山功夫	3.5	3629261	2009
东邪西毒：终极版	8.7	3726072	2009
大战外星人	6.9	2028650	2009
古宅魂迷	2.5	3012388	2009
缘来是爱	7.3	4135721	2009
红河	7.1	3111650	2009
决战太原	7.5	4886295	2009
心事	0	25847561	2009
京武风云	0	4603400	2009
春晓	0	4841271	2009
妈妈回来了	0	26384855	2009
立正	0	3649541	2009
机动部队-同袍	6.3	3391271	2009
花落时节	0	3264823	2009
彼岸	8.4	4074143	2009
拉贝日记	7.2	2294565	2009
金刚狼	7.2	1792928	2009
车票	6	3290451	2009
鏖兵天府	6.4	3732579	2009
东方巨响	8.5	3115174	2009
与梦相约	0	4901705	2009
星际迷航	7.9	26656750	2009
土地从这里延伸	0	26676461	2009
铁人	7.8	1432146	2009
雪红	0	3993757	2009
南京的那个夏天	6.8	3737284	2009
男生贾里新传	6.1	3221902	2009
同学	8.5	3780369	2009
潘作良	6.9	3756707	2009
终结者2018	6.7	1410556	2009
清官图之龙凤呈祥	0	26388529	2009
欠我十万零五千	5.4	3737290	2009
水脑袋	8.5	3814081	2009
生日	7.8	6738775	2009
让我为你靠点谱	7.5	3992617	2009
金山	7	2209383	2009
牛铃响叮当	6.1	26941790	2009
沉默的呼喊	0	19965290	2009
天有多高	0	5937927	2009
寻找成龙	3.7	3737278	2009
龙顶	0	10569008	2009
燃烧的生命	0	3993433	2009
别尔克乌	0	6436779	2009
夜·店	6.6	3683409	2009
大内密探灵灵狗	5	3670447	2009
哆啦A梦：大雄与绿巨人传	7.1	2977870	2009
秀水街	0	4320273	2009
木香镇传奇	5.7	4122197	2009
机器侠	5.2	3990500	2009
国家要案	6.9	1905786	2009
白银帝国	6.3	3445526	2009
飞吧霹雳	3.8	3928375	2009
李秋实	0	26362206	2009
爱我就给我跳支舞	0	3924476	2009
气喘吁吁	4	3389558	2009
万家灯火	8.2	1419052	2009
爱有来生	7.5	3155477	2009
沂蒙六姐妹	7.6	3778246	2009
大明宫	8.7	5356803	2009
达达	6.3	3243637	2009
谁主沉浮	8.7	3918528	2009
铁流1949	5.8	4073876	2009
惊天动地	8.1	1300618	2009
第一军规	4.7	3899166	2009
窈窕绅士	6.1	3897667	2009
麦田	5	3582229	2009
风声	8	3734112	2009
皇家刺青	4.7	3189969	2009
狼灾记	4.3	3231724	2009
特工008	5.7	3293034	2009
秘岸	6.1	3011906	2009
天生幻想狂	5.8	3763241	2009
欠债还情	6.3	5285699	2009
阿童木	6.8	1917074	2009
戏伴人生	0	26295969	2009
别哭，我心爱的	0	26387873	2009
医痴叶天士	7.2	4116995	2009
光之美少女：充满秘密的玩具王国	7.8	24858416	2009
罪与罚	6.6	3731463	2009
7天爱上你	5.6	3757161	2009
玫瑰余香	3.9	4917707	2009
隋朝来客	4.6	3737283	2009
狐女	3.5	4858756	2009
青花运	0	5256469	2009
火星没事	4.9	3892235	2009
小人国	8.5	3778273	2009
大海道之魅影狂沙	0	20435046	2009
暮光之城	7.3	2268359	2009
第九区	8.2	3006772	2009
美味情歌	5.1	3681693	2009
你好澳门	0	4202320	2009
北魏传奇之情缘	0	21319316	2009
濠河边上的女人	6.4	6080849	2009
刺陵	3.7	3305722	2009
刘巧儿家飞来个小洋妞	0	26389351	2009
太阳的颜色	0	26389350	2009
奥戈	5.8	4166383	2009
父亲的梦想	0	5382852	2009
午夜出租车	3.5	3999737	2009
黄河滩	0	5256440	2009
逃亡者	8.5	1303562	2010
恩怨	0	5407101	2010
邻家特工	6.1	3179758	2010
我和红七军	0	5256468	2010
孔子	5.3	3606975	2010
喜羊羊与灰太狼之虎虎生威	6.8	4082101	2010
锦衣卫	5.9	3754946	2010
心迷	0	26004048	2010
连环扣	7.7	1303123	2010
苏乞儿	7.4	1297863	2010
花田囍事2010	5.2	3804746	2010
全城热恋	6.3	4066206	2010
亚瑟和他的迷你王国2	6.2	1981642	2010
大侦探福尔摩斯	7.5	2998270	2010
极限空间	6.6	3094580	2010
好雨时节	6.4	3401409	2010
大胃王	3.7	2357397	2010
不要回头	6.3	2213119	2010
篮球小皇帝	8.4	3206681	2010
迷魂陷阱	5.3	3244066	2010
武动青春	4.2	3728375	2010
波西·杰克逊与神火之盗	5.9	3090455	2010
越光宝盒	5.2	3928370	2010
爱丽丝梦游仙境	7	2336785	2010
云上的人	7.7	1291558	2010
歌声的翅膀	0	5912984	2010
火龙对决	6.1	3993708	2010
澳门1949	4.5	4363034	2010
孤胆拯救	3.7	3011600	2010
弹.道	6.4	3156600	2010
天上掉下个林妹妹	6.5	2284425	2010
预审	6.3	4251801	2010
